"","Li51","Li52","Li54","Li55","Li62","Li63","Li64","Li65","Li11","Li12","Li13","Li14","Li15","Li21","Li22","Li23","Li24","Li25"
"ENSMUSG00000088585",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048960",36,68,71,65,30,78,66,73,252,153,314,190,323,173,196,159,215,298
"ENSMUSG00000077318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101827",1,0,3,2,1,4,0,1,0,0,1,1,1,1,0,0,0,1
"ENSMUSG00000103494",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000057715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000103825",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103561",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101610",1,0,3,3,0,2,0,0,0,1,2,0,0,2,2,0,3,0
"ENSMUSG00000093864",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097628",9,5,5,4,4,8,2,10,7,7,3,5,3,5,7,2,2,7
"ENSMUSG00000098163",1,1,0,1,1,0,0,2,0,2,1,0,0,2,1,0,0,0
"ENSMUSG00000097171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000016918",30,70,31,92,22,29,25,33,45,115,68,34,24,53,77,114,25,86
"ENSMUSG00000025938",2,0,0,2,1,0,2,0,0,0,2,0,1,0,0,1,0,0
"ENSMUSG00000104518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000069620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042414",2,4,1,3,1,2,3,4,1,0,0,3,0,1,0,1,0,1
"ENSMUSG00000005886",2866,2144,3734,3086,3904,2556,4817,6118,2685,2073,2505,2110,3335,2784,2615,1829,1504,1983
"ENSMUSG00000103506",3,1,0,2,3,2,2,2,3,4,3,0,1,0,0,1,0,0
"ENSMUSG00000103495",0,1,2,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
"ENSMUSG00000099183",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102639",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104170",0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0
"ENSMUSG00000087782",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000103085",1,2,2,2,2,2,1,1,3,1,3,2,3,1,0,0,0,0
"ENSMUSG00000102664",4,0,0,4,0,4,1,0,1,2,0,0,0,2,0,0,0,1
"ENSMUSG00000101476",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101171",0,0,1,0,0,0,2,1,0,0,1,0,1,0,0,2,0,0
"ENSMUSG00000025935",6672,5521,6138,6153,6501,6556,7160,8505,6664,4438,5901,4573,5738,5434,4278,4370,3352,4578
"ENSMUSG00000025937",1531,3323,2205,5387,1937,4063,2468,3033,12906,10980,12288,9589,13895,12167,10968,9079,7005,10227
"ENSMUSG00000102982",11,13,34,10,13,20,24,23,86,53,73,40,79,24,40,25,20,42
"ENSMUSG00000067813",120,1181,246,1096,164,233,284,271,1243,1125,1153,835,1410,1190,1050,881,813,996
"ENSMUSG00000077368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097711",16,31,26,45,15,28,45,41,22,16,25,26,18,23,15,21,17,22
"ENSMUSG00000102166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089358",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025932",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095853",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102588",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054493",0,0,0,0,0,0,0,0,2,4,0,4,2,1,3,2,2,3
"ENSMUSG00000025930",2,0,5,0,1,0,2,7,2,1,5,3,5,1,6,3,0,5
"ENSMUSG00000103492",0,0,0,0,0,0,0,0,3,1,1,2,1,1,0,2,1,0
"ENSMUSG00000081201",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"ENSMUSG00000082193",6,2,3,0,3,1,2,1,1,3,1,2,3,1,0,3,2,1
"ENSMUSG00000032769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073737",13,19,23,32,21,12,14,18,28,25,48,23,33,54,21,28,20,37
"ENSMUSG00000092083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000102937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088829",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
